001_0001,2.07841,1.50891,2.75525,-2.66402,11.8485,18.5861,12.9392,-7.17628,22.9205,8.38221,-6.88831,10.1326,-10.5851,18.7108,23.0318,28.5158,8.34401,5.89945,-5.95797,-10.5751,-4.59626,-7.09381,0.941636,4.0201,0.287795,1.44162,26.2049,-5.5096,16.5941,-34.8506,-14.3617,7.25748
001_0002,-1.25629,-0.491755,-7.57251,2.51727,-5.58759,8.58716,0.522465,5.72972,6.88468,12.2465,4.50138,3.44773,4.10234,11.7031,3.50194,7.53695,21.3785,-14.343,14.3816,-10.606,25.9752,-19.6831,11.4435,20.8861,-11.2215,-11.0955,33.8801,1.21195,43.2194,-21.1776,-29.3764,-14.4431
001_0003,-3.62829,-8.24384,-7.47418,-4.11545,2.34306,11.7172,6.06249,4.83673,13.0707,10.5788,-2.80047,4.79015,1.72443,6.51401,12.8704,6.47381,14.6918,-8.78137,6.3513,-11.7672,18.8525,-4.39227,6.78937,25.2324,-2.22404,-8.70103,32.6564,1.13436,45.2584,-16.1751,-29.7038,-12.9039
001_0004,-4.99151,3.76312,-4.49819,-0.824895,1.60382,1.62061,4.22616,-4.95068,4.03245,-2.54089,0.877691,4.78214,-4.85428,7.36096,-5.32621,9.91992,8.46598,5.3383,-6.54169,-10.1136,-6.04418,5.42997,3.73934,13.0283,-1.45669,13.4557,19.1089,9.39325,-6.53504,-20.1158,9.40976,17.1286
001_0006,1.52409,0.527468,-2.11361,-7.10113,-2.30659,-3.69807,0.650571,3.0465,0.7415,8.15959,-6.45215,-2.85566,-6.1318,2.91079,0.709999,3.17199,6.74483,-11.3004,1.42856,-2.8242,-8.25062,-5.37035,4.39371,3.5464,-4.7547,5.11961,27.6198,7.93779,9.55527,-33.2038,-14.2731,-18.0279
001_0007,2.71079,-1.90306,-1.32141,3.21909,3.59587,8.54659,5.49257,-4.93647,7.22321,15.8704,-9.93402,5.33419,-8.83318,10.0133,15.9224,22.0194,6.18385,-2.14064,-1.30381,-13.1486,-2.48497,-2.1288,-1.72,2.18856,6.62986,2.81986,19.8461,-6.62553,9.11022,-24.2,-4.02064,-0.134005
001_0009,-8.81158,-3.96868,4.4778,-8.13559,-1.07873,7.11359,16.4262,-1.67001,11.5557,12.5009,-14.0033,-7.0779,-13.1231,19.6638,7.59211,17.2411,15.302,-12.3154,-5.43309,-28.4181,-17.7036,-2.91361,-6.56664,26.8763,-7.61233,-6.66274,27.4408,2.22636,-2.84082,-48.1766,-18.7973,8.92469
001_0011,-3.00915,-5.72205,4.00052,8.69724,-4.74898,28.2527,11.9324,-11.9844,15.4149,12.3866,3.94312,-7.24244,-4.50179,24.1227,-0.0556603,32.4923,19.5086,-18.4601,15.1387,-24.3183,-5.23415,16.4241,21.4339,3.77195,-12.1169,-3.96629,-1.29705,8.15599,-4.7532,-65.7783,-6.389,4.72011
001_0012,-3.02006,-4.35276,-9.84182,-12.0751,4.87605,-1.15819,6.92849,5.37704,3.56319,17.1063,-8.33125,-1.63434,-8.69465,6.9617,8.34228,3.91681,-5.12597,-16.4751,-6.26663,3.84979,-3.78749,-11.9575,17.7724,7.17272,-9.37535,-2.85327,23.0894,-8.35034,31.8428,-20.846,-23.1032,5.5241
001_0014,-0.235561,-6.92815,7.79991,-6.98186,-2.74681,16.1915,11.1507,-2.81312,15.5573,21.1766,-14.6344,12.4912,-14.0756,7.73338,10.2711,13.1062,17.6141,-14.4107,2.42146,-11.1124,-2.3518,-14.5465,9.44557,22.7783,-16.5519,-5.41999,42.936,12.3695,34.5988,-35.9216,-33.05,-23.1294
